"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"SPICEPREFIX";
"7";"";"JST-XH-02-PIN-ROUND-PAD";"JST-XH-02-PACKAGE-ROUND-PAD";"AC1, AC2, AC3, AC4, AC5, AC6, AC7";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";
"7";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3, LED4, LED5, LED6, LED7";"LED";"";"";"";"";"";"";"";"";"";"";
"1";"";"STM32F103C8T6DIP40";"STM32";"U$1";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"TL431SOT23";"SOT23";"TL1";"TL431 Adjustable Voltage Regular";"";"";"";"";"";"";"";"";"";"";
"7";"";"WIREPADSMD1,27-254";"SMD1,27-2,54";"CS, E2, E3, E4, SCK, SI, SO";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";
"1";" ";"WIREPADSMD1,27-254";"SMD1,27-2,54";"E6";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";
"2";"104";"C-EUC0805";"C0805";"C-S5, C-S6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";
"21";"105";"C-EUC0805";"C0805";"C1-1, C1-2, C1-3, C2-1, C2-2, C2-3, C3-1, C3-2, C3-3, C4-1, C4-2, C4-3, C5-1, C5-2, C5-3, C6-1, C6-2, C6-3, C7-1, C7-2, C7-3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";
"8";"10K";"R-EU_M0805";"M0805";"R1-4, R2-4, R3-4, R4-4, R5-4, R6-4, R7-4, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";
"2";"10uF";"C-EUC0805";"C0805";"C-S7, C-S8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";
"1";"10uf";"C-EUC0805";"C0805";"C-VR1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";
"7";"120";"R-EU_M0805";"M0805";"R1, R2, R3, R4, R5, R6, R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";
"1";"120R";"R-EU_M0805";"M0805";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";
"7";"20K";"R-EU_M0805";"M0805";"R1-2, R2-2, R3-2, R4-2, R5-2, R6-2, R7-2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";
"2";"22PF";"C-EUC0805";"C0805";"C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"C";
"7";"250";"R-EU_M0805";"M0805";"RL-1, RL-2, RL-3, RL-4, RL-5, RL-6, RL-7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";
"22";"360";"R-EU_M0805";"M0805";"R-VR1, R1-5, R1-6, R1-7, R2-5, R2-6, R2-7, R3-5, R3-6, R3-7, R4-5, R4-6, R4-7, R5-5, R5-6, R5-7, R6-5, R6-6, R6-7, R7-5, R7-6, R7-7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";
"14";"470K";"R-EU_M0805";"M0805";"R1-1, R1-3, R2-1, R2-3, R3-1, R3-3, R4-1, R4-3, R5-1, R5-3, R6-1, R6-3, R7-1, R7-3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"R";
"7";"500K";"TRIM_US-B64Y";"B64Y";"RP1, RP2, RP3, RP4, RP5, RP6, RP7";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"J";
"1";"8MHz";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"";"";"";"1667008";"unknown";"";"";"";
"3";"ECU Conn";"WIREPADSMD1,27-254";"SMD1,27-2,54";"E1, E5, INT";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";
"7";"LM358D";"LM358D";"SO08";"U1, U2, U3, U4, U5, U6, U7";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";"";"";"";"";"J";
"1";"MCP2515-I/SO";"MCP2515-I/SO";"SOIC127P1034X264-18N";"U$2";"CAN Controller";"Unavailable";" MCP2515 Series 5.5 V 1 Mb/s Stand Alone SPI Interface CAN Controller- SOIC-18 ";"Microchip";"MCP2515-I/SO";"";"";"";"SOIC-18 Microchip";"None";"";
"1";"TJA1050";"TJA1050";"SOT96-1";"U8";"High speed CAN transceiver";"Unavailable";" ";"NXP Semiconductors";"TJA1050";"";"";"";"None";"None";"";
